Index,Action,TimeStamp,Object,// Reference is Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordStart,2021-02-24T11:06:02.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordEnd,2021-02-24T11:07:02.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordName,5b3f5d2c-9ea0-47a6-aa35-7551cfdaa330.mp4,collectedData,[accData,[accDate,2021-02-24T11:06:02.117,accInterval,0.1,accXyz,[x,-0.062249243,y,-0.18674773,z,9.787796020507812],degree,0,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:36.568,accInterval,34.6,accXyz,[x,-0.1316811,y,-0.179565132,z,9.885957717895508],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:36.950,accInterval,34.9,accXyz,[x,-0.095768064,y,-0.244208574,z,9.967360496520996],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:37.195,accInterval,35.2,accXyz,[x,-0.088585466,y,-0.217872351,z,10.146925926208496],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:37.460,accInterval,35.4,accXyz,[x,0.155623108,y,-0.138863698,z,9.818920135498047],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:37.838,accInterval,35.8,accXyz,[x,-0.126892686,y,-0.213083953,z,9.907505989074707],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:38.098,accInterval,36.1,accXyz,[x,-0.172382519,y,-0.208295554,z,9.524434089660645],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:38.396,accInterval,36.4,accXyz,[x,-0.086191259,y,-0.193930343,z,9.725546836853027],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:38.708,accInterval,36.7,accXyz,[x,-0.086191259,y,-0.198718742,z,10.077494621276855],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:38.932,accInterval,36.9,accXyz,[x,-0.031124622,y,-0.165199921,z,9.83807373046875],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:39.198,accInterval,37.2,accXyz,[x,-0.124498487,y,-0.217872351,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:39.593,accInterval,37.6,accXyz,[x,-0.785298169,y,-0.342370838,z,6.222829341888428],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:39.803,accInterval,37.8,accXyz,[x,-0.074220255,y,-0.227449164,z,10.59224796295166],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:40.111,accInterval,38.1,accXyz,[x,-0.189141929,y,-0.20590134,z,9.85962200164795],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:40.405,accInterval,38.4,accXyz,[x,-0.10295067,y,-0.181959331,z,9.773430824279785],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:40.735,accInterval,38.7,accXyz,[x,-0.1316811,y,-0.191536129,z,9.8691987991333],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:41.041,accInterval,39,accXyz,[x,0.191536129,y,-0.050278235,z,9.56274127960205],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:41.301,accInterval,39.3,accXyz,[x,-0.122104287,y,-0.18674773,z,9.847650527954102],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:41.610,accInterval,39.6,accXyz,[x,0.08379706,y,0.01436521,z,9.629778861999512],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:42.014,accInterval,40,accXyz,[x,-0.126892686,y,-0.201112941,z,9.873987197875977],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:42.239,accInterval,40.2,accXyz,[x,-0.074220255,y,-0.160411507,z,9.715970039367676],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:42.598,accInterval,40.6,accXyz,[x,-0.124498487,y,-0.20590134,z,9.945813179016113],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:42.819,accInterval,40.8,accXyz,[x,-0.1316811,y,-0.222660765,z,9.92665958404541],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:43.130,accInterval,41.1,accXyz,[x,-0.059855044,y,-0.18435353,z,9.897929191589355],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:43.478,accInterval,41.5,accXyz,[x,-0.146046311,y,-0.213083953,z,9.854833602905273],degree,0,,,,,,,,,,,,,,,,,,,,
